file,status,duration_sec,shot_length_mean_sec,shot_length_median_sec,shots_per_min,shot_count,cuts_per_min,shot_length_cv,color_saturation_mean,color_saturation_temporal_var,motion_mean,motion_peak,flashing_events_per_min,audio_rms_mean,audio_rms_peak,audio_rms_temporal_var,audio_dynamic_range_db,audio_available,sensory_load_score,sensory_load_audio_available,sensory_load_pacing,sensory_load_saturation,sensory_load_motion,sensory_load_flashing,sensory_load_audio
102 Visit The Dentist.mp4,ok,781.03,3.702,2.836,16.209,211,16.133,0.781,0.3466,0.0074,0.0625,0.6653,3.687,0.02483,0.06008,0.000111,7.67,True,0.1901,True,0.2689,0.3466,0.0625,0.1229,0.1241
105 Go To School.mp4,ok,781.03,4.851,3.795,12.368,161,12.291,0.738,0.3503,0.008,0.0513,0.595,3.073,0.02441,0.04385,7.2e-05,5.09,True,0.1651,True,0.2049,0.3503,0.0513,0.1024,0.1221
110 Trick Or Treat.mp4,ok,781.03,3.566,2.586,16.824,219,16.747,0.791,0.3934,0.0077,0.0601,0.6339,4.993,0.02325,0.04895,8.9e-05,6.47,True,0.2015,True,0.2791,0.3934,0.0601,0.1664,0.1162
