file,status,duration_sec,shot_length_mean_sec,shot_length_median_sec,shots_per_min,shot_count,cuts_per_min,shot_length_cv,color_saturation_mean,color_saturation_temporal_var,motion_mean,motion_peak,flashing_events_per_min,audio_rms_mean,audio_rms_peak,audio_rms_temporal_var,audio_dynamic_range_db,audio_available,sensory_load_score,sensory_load_audio_available,sensory_load_pacing,sensory_load_saturation,sensory_load_motion,sensory_load_flashing,sensory_load_audio
Game Theory Five Nights at Freddy's SCARIEST Monster is You!.mp4,ok,996.13,4.789,2.252,12.529,208,12.468,1.69,0.2761,0.0427,0.0704,0.9496,10.962,0.06593,0.22052,0.001005,10.49,True,0.2589,True,0.2078,0.2761,0.0704,0.3654,0.3296
Game Theory FNAF Mysteries SOLVED Pt 2 (FIRST HALF) - The Game Theorists (720p).mp4,ok,644.98,3.468,1.392,17.303,186,17.21,1.592,0.2488,0.0388,0.0857,0.8846,15.442,0.05825,0.21479,0.000384,11.33,True,0.3017,True,0.2868,0.2488,0.0857,0.5147,0.2913
Game Theory UNDERTALE - Sans's SECRET Identity!.mp4,ok,1047.97,7.879,4.067,7.615,133,7.557,1.093,0.1916,0.0593,0.0828,0.8634,12.539,0.07169,0.21267,0.000561,9.45,True,0.2679,True,0.126,0.1916,0.0828,0.418,0.3584
"Game Theory Why Mario is Mental, Part 1 - The Game Theorists (720p, h264, youtube).mp4",ok,805.47,4.941,3.237,12.142,163,12.067,0.988,0.3991,0.0594,0.0837,0.9592,12.589,0.04997,0.21199,0.000274,12.55,True,0.2708,True,0.2011,0.3991,0.0837,0.4196,0.2498
