file,status,duration_sec,shot_length_mean_sec,shot_length_median_sec,shots_per_min,shot_count,cuts_per_min,shot_length_cv,color_saturation_mean,color_saturation_temporal_var,motion_mean,motion_peak,flashing_events_per_min,audio_rms_mean,audio_rms_peak,audio_rms_temporal_var,audio_dynamic_range_db,audio_available,sensory_load_score,sensory_load_audio_available,sensory_load_pacing,sensory_load_saturation,sensory_load_motion,sensory_load_flashing,sensory_load_audio
"I Bought My First Car…… - IShowSpeed (1080p, h264).mp4",ok,428.07,2.798,1.6,21.445,153,21.305,1.142,0.3368,0.0271,0.1599,0.4751,8.27,0.14496,0.37852,0.004594,8.34,True,0.4084,True,0.3551,0.3368,0.1599,0.2757,0.7248
"I Played Football with Ronaldo Jr. - IShowSpeed (720p, h264).mp4",ok,1737.03,52.637,6.867,1.14,33,1.105,2.449,0.2572,0.0009,0.1302,0.3488,0.864,0.05775,0.12255,0.000244,6.54,True,0.1907,True,0.0184,0.2572,0.1302,0.0288,0.2888
"IShowSpeed & Kai Cenat - Dogs (Official Music Video) - IShowSpeed (720p, h264).mp4",ok,101.0,1.656,1.708,36.238,61,35.644,0.464,0.333,0.0254,0.2128,0.5504,37.426,0.32581,0.4378,0.008275,2.57,True,0.6346,True,0.5941,0.333,0.2128,1.0,1.0
"IShowSpeed - Shake (Official Music Video) - IShowSpeed (720p, h264).mp4",ok,156.78,2.657,2.586,22.579,59,22.196,0.728,0.2075,0.0086,0.1606,0.6862,22.196,0.19818,0.36483,0.011494,5.3,True,0.5112,True,0.3699,0.2075,0.1606,0.7399,0.9909
Ishowspeed dances to hey Jessie on JustDance.mp4,ok,227.72,20.702,10.243,2.898,11,2.635,1.212,0.6743,0.0757,0.0539,0.3028,1.844,0.18649,0.71243,0.016614,11.64,True,0.3361,True,0.0439,0.6743,0.0539,0.0615,0.9324
ISHOWSPEED DOES GANGNAM STYLE DANCE😂.mp4,ok,246.57,10.274,8.333,5.84,24,5.597,0.767,0.6237,0.0359,0.1091,0.8429,8.274,0.14485,0.46677,0.004999,10.16,True,0.3496,True,0.0933,0.6237,0.1091,0.2758,0.7242
