file,status,duration_sec,shot_length_mean_sec,shot_length_median_sec,shots_per_min,shot_count,cuts_per_min,shot_length_cv,color_saturation_mean,color_saturation_temporal_var,motion_mean,motion_peak,flashing_events_per_min,audio_rms_mean,audio_rms_peak,audio_rms_temporal_var,audio_dynamic_range_db,audio_available,sensory_load_score,sensory_load_audio_available,sensory_load_pacing,sensory_load_saturation,sensory_load_motion,sensory_load_flashing,sensory_load_audio
Bluey - Season 1 - First Half10.mp4,ok,423.02,5.159,3.504,11.631,82,11.489,0.985,0.3508,0.0042,0.0523,0.7404,4.255,0.01413,0.04503,5e-05,10.07,True,0.1651,True,0.1915,0.3508,0.0523,0.1418,0.0706
Bluey - Season 1 - First Half11.mp4,ok,423.02,5.64,3.637,10.638,75,10.496,1.053,0.3937,0.0091,0.05,0.7411,5.248,0.01435,0.04775,5e-05,10.44,True,0.1661,True,0.1749,0.3937,0.05,0.1749,0.0717
Bluey - Season 1 - First Half12.mp4,ok,423.02,4.753,3.237,12.623,89,12.482,0.919,0.326,0.0039,0.0552,0.7404,2.128,0.01466,0.03986,5.3e-05,8.69,True,0.1561,True,0.208,0.326,0.0552,0.0709,0.0733
Bluey - Season 1 - First Half13.mp4,ok,423.02,8.135,6.356,7.375,52,7.234,0.919,0.2784,0.0093,0.0379,0.7403,1.56,0.01724,0.03854,4.5e-05,6.99,True,0.1303,True,0.1206,0.2784,0.0379,0.052,0.0862
Bluey - Season 1 - First Half14.mp4,ok,423.02,4.453,3.136,13.474,95,13.333,0.879,0.2804,0.0067,0.0431,0.7404,6.524,0.01403,0.042,5.9e-05,9.52,True,0.1799,True,0.2222,0.2804,0.0431,0.2175,0.0702
Bluey - Season 1 - Second Half10.mp4,ok,423.02,5.875,3.337,10.212,72,10.07,1.02,0.3434,0.003,0.0533,0.7404,4.539,0.01522,0.03825,6.1e-05,8.0,True,0.1709,True,0.1678,0.3434,0.0533,0.1513,0.0761
Bluey - Season 2 - First Half26.mp4,ok,440.94,4.793,3.187,12.519,92,12.383,0.9,0.3666,0.0092,0.0521,0.7451,3.946,0.01088,0.02512,2e-05,7.27,True,0.1648,True,0.2064,0.3666,0.0521,0.1315,0.0544
