file,status,duration_sec,shot_length_mean_sec,shot_length_median_sec,shots_per_min,shot_count,cuts_per_min,shot_length_cv,color_saturation_mean,color_saturation_temporal_var,motion_mean,motion_peak,flashing_events_per_min,audio_rms_mean,audio_rms_peak,audio_rms_temporal_var,audio_dynamic_range_db,audio_available,sensory_load_score,sensory_load_audio_available,sensory_load_pacing,sensory_load_saturation,sensory_load_motion,sensory_load_flashing,sensory_load_audio
A Daring Duck  .mp4,ok,530.0,9.138,5.889,6.566,58,6.453,0.89,0.3425,0.0027,0.0278,0.4578,2.83,0.02607,0.05593,0.000196,6.63,True,0.1399,True,0.1076,0.3425,0.0278,0.0943,0.1303
A Delicate Balance  .mp4,ok,529.7,6.306,5.088,9.515,84,9.402,0.681,0.3701,0.0037,0.0574,0.4771,4.757,0.03239,0.07812,0.000288,7.65,True,0.1914,True,0.1567,0.3701,0.0574,0.1586,0.162
A Peep of a Different Color  .mp4,ok,530.0,7.681,5.138,7.811,69,7.698,1.136,0.4276,0.0026,0.0382,0.8354,2.491,0.0276,0.08443,0.000231,9.71,True,0.1695,True,0.1283,0.4276,0.0382,0.083,0.138
All Fall Down  .mp4,ok,531.26,6.25,4.872,9.6,85,9.487,0.79,0.3995,0.013,0.0602,0.6456,7.567,0.03152,0.08535,0.000253,8.65,True,0.2105,True,0.1581,0.3995,0.0602,0.2522,0.1576
