file,status,duration_sec,shot_length_mean_sec,shot_length_median_sec,shots_per_min,shot_count,cuts_per_min,shot_length_cv,color_saturation_mean,color_saturation_temporal_var,motion_mean,motion_peak,flashing_events_per_min,audio_rms_mean,audio_rms_peak,audio_rms_temporal_var,audio_dynamic_range_db,audio_available,sensory_load_score,sensory_load_audio_available,sensory_load_pacing,sensory_load_saturation,sensory_load_motion,sensory_load_flashing,sensory_load_audio
Little Bear _ A Family Portrait _ Little Bear's New Friend _ Emily's Visit - Ep. 9.ia.mp4,ok,1451.85,3.515,2.469,17.068,413,17.027,0.917,0.326,0.0102,0.0703,0.7078,7.439,0.03043,0.08662,0.000231,9.09,True,0.2275,True,0.2838,0.326,0.0703,0.248,0.1521
Little Bear _ A Flu _ Exploring _ Fishing with Father Bear - Ep. 4.mp4,ok,1450.65,4.803,3.136,12.491,302,12.45,1.14,0.2979,0.0078,0.0517,0.4322,4.963,0.02564,0.06647,0.000191,8.27,True,0.1818,True,0.2075,0.2979,0.0517,0.1654,0.1282
Little Bear _ Grandfather's Attic _ Little Bear's Egg _ Party at Owl's House - Ep. 12.mp4,ok,1449.05,4.128,2.97,14.534,351,14.492,0.83,0.4151,0.0106,0.0694,0.4124,5.88,0.03135,0.10221,0.000245,10.26,True,0.6294,True,1.0,0.593,0.1388,1.0,0.3135
Little Bear _ Hiccups _ Date With Father Bear _ Pudding Hill - Ep. 7.mp4,ok,1450.98,3.779,2.97,15.879,384,15.838,0.785,0.3558,0.0136,0.0659,0.4158,5.996,0.02667,0.07464,0.000211,8.94,True,0.6059,True,1.0,0.5083,0.1318,1.0,0.2667
LittleBear.mp4,ok,1451.78,4.58,3.036,13.101,317,13.06,1.099,0.2668,0.0098,0.0581,0.3675,5.207,0.02034,0.06982,0.000138,10.71,True,0.5711,True,1.0,0.3811,0.1162,1.0,0.2034
