file,status,duration_sec,shot_length_mean_sec,shot_length_median_sec,shots_per_min,shot_count,cuts_per_min,shot_length_cv,color_saturation_mean,color_saturation_temporal_var,motion_mean,motion_peak,flashing_events_per_min,audio_rms_mean,audio_rms_peak,audio_rms_temporal_var,audio_dynamic_range_db,audio_available,sensory_load_score,sensory_load_audio_available,sensory_load_pacing,sensory_load_saturation,sensory_load_motion,sensory_load_flashing,sensory_load_audio
Arthur - S01E01-E02 - Arthur's Eyes + Francine's Bad Hair Day SDTV.mp4,ok,1590.24,3.041,2.294,19.733,523,19.695,0.771,0.5116,0.0207,0.0857,0.5857,8.112,0.04317,0.11121,0.000283,8.22,True,0.2679,True,0.3282,0.5116,0.0857,0.2704,0.2158
Arthur - S01E05-E06 - D.W. All Wet + Buster's Dino Dilemma SDTV.mp4,ok,1621.77,3.429,2.669,17.499,473,17.462,0.731,0.4492,0.0197,0.0771,0.7667,8.361,0.0437,0.10145,0.000321,7.32,True,0.2501,True,0.291,0.4492,0.0771,0.2787,0.2185
Arthur - S01E07-E08 - D.W.'s Imaginary Friend + Arthur's Lost Library Book SDTV.mp4,ok,1590.7,3.287,2.627,18.256,484,18.218,0.854,0.5573,0.0181,0.0803,0.5875,7.431,0.04372,0.10118,0.000249,7.29,True,0.2609,True,0.3036,0.5573,0.0803,0.2477,0.2186
Arthur - S01E09-E10 - Arthur's Pet Business + D.W. the Copycat SDTV.mp4,ok,1591.83,3.146,2.544,19.072,506,19.035,0.722,0.5105,0.0217,0.0713,0.625,6.747,0.04119,0.09583,0.000331,7.33,True,0.2466,True,0.3172,0.5105,0.0713,0.2249,0.2059
Arthur - S01E35-E36 - Arthur's Chicken Pox + Sick as a Dog SDTV.mp4,ok,1590.87,3.414,2.669,17.575,466,17.538,0.757,0.5223,0.0217,0.0749,0.5901,7.581,0.04129,0.10418,0.000381,8.04,True,0.2495,True,0.2923,0.5223,0.0749,0.2527,0.2064
Arthur - S01E59-E60 - Arthur's First Sleepover + Arthur's New Years Eve SDTV.mp4,ok,1622.14,3.365,2.565,17.828,482,17.791,0.806,0.5445,0.0227,0.0695,0.5937,8.285,0.04139,0.09554,0.000327,7.27,True,0.2533,True,0.2965,0.5445,0.0695,0.2762,0.2069
